Culture,Rule,1,2,3,4
2D Euclidean,Evaluative Voting,100.0,100.0,100.0,100.0
2D Euclidean,k-Median Rule,71.5,74.8,75.75,80.9
2D Euclidean,k-Median-Shapley,63.4,62.9,53.3,50.65
Impartial Anonymous Culture (IAC),Evaluative Voting,96.5,99.1,98.75,96.7
Impartial Anonymous Culture (IAC),k-Median Rule,67.5,80.85,83.05,78.2
Impartial Anonymous Culture (IAC),k-Median-Shapley,51.25,68.95,72.7,64.6
Impartial Culture (IC),Evaluative Voting,100.0,100.0,100.0,100.0
Impartial Culture (IC),k-Median Rule,98.35,99.75,99.55,99.3
Impartial Culture (IC),k-Median-Shapley,94.15,98.45,99.05,98.4
Mallows (phi=0.7),Evaluative Voting,100.0,100.0,99.95,99.85
Mallows (phi=0.7),k-Median Rule,67.0,56.35,67.3,59.15
Mallows (phi=0.7),k-Median-Shapley,51.1,43.1,45.4,50.85
Plackett-Luce,Evaluative Voting,96.7,97.75,93.75,78.7
Plackett-Luce,k-Median Rule,68.3,79.45,76.85,62.0
Plackett-Luce,k-Median-Shapley,42.8,56.25,46.8,33.25
Polya Urn (alpha=0.2),Evaluative Voting,95.7,97.9,97.65,94.7
Polya Urn (alpha=0.2),k-Median Rule,66.45,79.0,78.7,77.0
Polya Urn (alpha=0.2),k-Median-Shapley,52.75,64.7,68.2,64.65
